t	Cl	Cl	Cl
1.27559999999988	5.60883788472751	5.03622690534978	5.0002497881226
1.27569999999988	5.60889597219971	5.03623727070106	5.00024983824161
1.27579999999988	5.60895406070481	5.03624763929388	5.00024988836728
1.27589999999988	5.60901215024289	5.03625801112947	5.0002499384996
1.27599999999988	5.60907024081399	5.03626838620911	5.00024998863859
1.27609999999988	5.60912833241817	5.03627876453405	5.00025003878425
1.27619999999988	5.60918642505547	5.03628914610556	5.00025008893656
1.27629999999988	5.60924451872597	5.03629953092488	5.00025013909555
1.27639999999988	5.6093026134297	5.03630991899329	5.00025018926119
1.27649999999988	5.60936070916673	5.03632031031205	5.00025023943351
1.27659999999988	5.60941880593711	5.03633070488241	5.00025028961249
1.27669999999988	5.60947690374089	5.03634110270564	5.00025033979815
1.27679999999988	5.60953500257812	5.036351503783	5.00025038999047
1.27689999999988	5.60959310244886	5.03636190811576	5.00025044018947
1.27699999999988	5.60965120335317	5.03637231570518	5.00025049039514
1.27709999999988	5.6097093052911	5.03638272655252	5.00025054060749
1.27719999999988	5.6097674082627	5.03639314065905	5.0002505908265
1.27729999999988	5.60982551226802	5.03640355802604	5.0002506410522
1.27739999999988	5.60988361730713	5.03641397865475	5.00025069128457
1.27749999999988	5.60994172338007	5.03642440254644	5.00025074152362
1.27759999999988	5.60999983048689	5.0364348297024	5.00025079176935
1.27769999999988	5.61005793862766	5.03644526012388	5.00025084202176
1.27779999999988	5.61011604780243	5.03645569381215	5.00025089228085
1.27789999999988	5.61017415801124	5.03646613076849	5.00025094254662
1.27799999999988	5.61023226925416	5.03647657099416	5.00025099281908
1.27809999999988	5.61029038153123	5.03648701449044	5.00025104309822
1.27819999999988	5.61034849484252	5.03649746125858	5.00025109338405
1.27829999999988	5.61040660918807	5.03650791129988	5.00025114367656
1.27839999999988	5.61046472456794	5.03651836461559	5.00025119397576
1.27849999999988	5.61052284098219	5.036528821207	5.00025124428165
1.27859999999988	5.61058095843086	5.03653928107537	5.00025129459423
1.27869999999988	5.61063907691402	5.03654974422198	5.0002513449135
1.27879999999988	5.6106971964317	5.03656021064811	5.00025139523946
1.27889999999988	5.61075531698398	5.03657068035502	5.00025144557212
1.27899999999988	5.6108134385709	5.036581153344	5.00025149591147
1.27909999999988	5.61087156119251	5.03659162961632	5.00025154625752
1.27919999999988	5.61092968484888	5.03660210917326	5.00025159661026
1.27929999999988	5.61098780954005	5.03661259201609	5.0002516469697
1.27939999999988	5.61104593526607	5.0366230781461	5.00025169733584
1.27949999999988	5.61110406202701	5.03663356756456	5.00025174770868
1.27959999999988	5.61116218982291	5.03664406027275	5.00025179808821
1.27969999999988	5.61122031865384	5.03665455627195	5.00025184847445
1.27979999999988	5.61127844851983	5.03666505556345	5.0002518988674
1.27989999999988	5.61133657942095	5.03667555814851	5.00025194926704
1.27999999999988	5.61139471135725	5.03668606402844	5.00025199967339
1.28009999999988	5.61145284432879	5.03669657320449	5.00025205008645
1.28019999999988	5.61151097833561	5.03670708567797	5.00025210050622
1.28029999999988	5.61156911337778	5.03671760145015	5.00025215093269
1.28039999999988	5.61162724945534	5.03672812052232	5.00025220136587
1.28049999999988	5.61168538656834	5.03673864289576	5.00025225180576
1.28059999999988	5.61174352471685	5.03674916857176	5.00025230225237
1.28069999999988	5.61180166390092	5.0367596975516	5.00025235270568
1.28079999999988	5.61185980412059	5.03677022983656	5.00025240316572
1.28089999999988	5.61191794537593	5.03678076542795	5.00025245363246
1.28099999999988	5.61197608766699	5.03679130432703	5.00025250410592
1.28109999999988	5.61203423099382	5.03680184653511	5.0002525545861
1.28119999999988	5.61209237535647	5.03681239205347	5.00025260507299
1.28129999999988	5.612150520755	5.0368229408834	5.00025265556661
1.28139999999988	5.61220866718946	5.03683349302618	5.00025270606694
1.28149999999988	5.61226681465991	5.03684404848312	5.00025275657399
1.28159999999988	5.61232496316639	5.03685460725549	5.00025280708777
1.28169999999988	5.61238311270897	5.0368651693446	5.00025285760827
1.28179999999988	5.61244126328769	5.03687573475173	5.0002529081355
1.28189999999988	5.61249941490261	5.03688630347818	5.00025295866945
1.28199999999988	5.61255756755379	5.03689687552523	5.00025300921012
1.28209999999988	5.61261572124127	5.0369074508942	5.00025305975753
1.28219999999988	5.61267387596511	5.03691802958636	5.00025311031166
1.28229999999988	5.61273203172536	5.03692861160302	5.00025316087252
1.28239999999988	5.61279018852208	5.03693919694546	5.00025321144012
1.28249999999988	5.61284834635533	5.03694978561499	5.00025326201444
1.28259999999988	5.61290650522514	5.03696037761291	5.0002533125955
1.28269999999988	5.61296466513159	5.0369709729405	5.00025336318329
1.28279999999988	5.61302282607471	5.03698157159908	5.00025341377782
1.28289999999988	5.61308098805457	5.03699217358993	5.00025346437909
1.28299999999988	5.61313915107122	5.03700277891436	5.00025351498709
