t	fg	fg	fg
0.758899999999933	0.256136476725673	0.381937560197958	0.122055879783826
0.758999999999933	0.256151707886419	0.382012019067994	0.122107034609728
0.759099999999933	0.256166936715522	0.382086475461076	0.122158187923715
0.759199999999933	0.256182163213943	0.382160929376964	0.122209339724392
0.759299999999933	0.256197387382646	0.382235380815416	0.122260490010368
0.759399999999933	0.256212609222592	0.38230982977619	0.122311638780256
0.759499999999933	0.256227828734743	0.382384276259046	0.122362786032673
0.759599999999933	0.256243045920059	0.382458720263741	0.122413931766241
0.759699999999933	0.256258260779501	0.382533161790033	0.122465075979584
0.759799999999933	0.256273473314028	0.38260760083768	0.122516218671334
0.759899999999933	0.256288683524598	0.382682037406439	0.122567359840124
0.759999999999933	0.256303891412171	0.382756471496067	0.122618499484593
0.760099999999933	0.256319096977704	0.382830903106322	0.122669637603384
0.760199999999933	0.256334300222154	0.38290533223696	0.122720774195143
0.760299999999933	0.256349501146479	0.382979758887736	0.122771909258523
0.760399999999933	0.256364699751634	0.383054183058409	0.122823042792177
0.760499999999933	0.256379896038575	0.383128604748732	0.122874174794766
0.760599999999933	0.256395090008257	0.383203023958462	0.122925305264953
0.760699999999933	0.256410281661635	0.383277440687355	0.122976434201407
0.760799999999933	0.256425470999663	0.383351854935165	0.123027561602799
0.760899999999933	0.256440658023294	0.383426266701647	0.123078687467806
0.760999999999933	0.25645584273348	0.383500675986556	0.123129811795108
0.761099999999933	0.256471025131175	0.383575082789647	0.12318093458339
0.761199999999932	0.25648620521733	0.383649487110672	0.123232055831341
0.761299999999932	0.256501382992896	0.383723888949388	0.123283175537652
0.761399999999932	0.256516558458824	0.383798288305545	0.123334293701022
0.761499999999932	0.256531731616064	0.3838726851789	0.123385410320152
0.761599999999932	0.256546902465565	0.383947079569203	0.123436525393746
0.761699999999932	0.256562071008276	0.384021471476209	0.123487638920513
0.761799999999932	0.256577237245146	0.38409586089967	0.123538750899168
0.761899999999932	0.256592401177123	0.384170247839338	0.123589861328428
0.761999999999932	0.256607562805154	0.384244632294966	0.123640970207013
0.762099999999932	0.256622722130186	0.384319014266304	0.123692077533651
0.762199999999932	0.256637879153164	0.384393393753106	0.123743183307069
0.762299999999932	0.256653033875036	0.384467770755122	0.123794287526003
0.762399999999932	0.256668186296744	0.384542145272104	0.12384539018919
