t	Rg	Rg	Rg
1.86599999999981	7.66462586753661E-05	0.00140967523972141	0.00984870439821014
1.86609999999981	7.66468949876206E-05	0.0014097204114521	0.00984905380341115
1.86619999999981	7.66475312741195E-05	0.00140976557467409	0.00984940320869016
1.86629999999981	7.6648167534866E-05	0.00140981072938366	0.00984975261404922
1.86639999999981	7.66488037698632E-05	0.00140985587557711	0.00985010201949038
1.86649999999981	7.66494399791142E-05	0.00140990101325074	0.00985045142501571
1.86659999999981	7.66500761626222E-05	0.00140994614240084	0.00985080083062725
1.86669999999981	7.66507123203904E-05	0.0014099912630237	0.00985115023632707
1.86679999999981	7.66513484524218E-05	0.00141003637511564	0.00985149964211723
1.86689999999981	7.66519845587196E-05	0.00141008147867293	0.00985184904799977
1.86699999999981	7.66526206392868E-05	0.00141012657369189	0.00985219845397675
1.86709999999981	7.66532566941267E-05	0.00141017166016881	0.00985254786005023
1.86719999999981	7.66538927232424E-05	0.00141021673809999	0.00985289726622227
1.86729999999981	7.6654528726637E-05	0.00141026180748174	0.00985324667249491
1.86739999999981	7.66551647043136E-05	0.00141030686831035	0.00985359607887022
1.86749999999981	7.66558006562753E-05	0.00141035192058212	0.00985394548535024
1.86759999999981	7.66564365825253E-05	0.00141039696429336	0.00985429489193704
1.86769999999981	7.66570724830668E-05	0.00141044199944038	0.00985464429863267
1.86779999999981	7.66577083579027E-05	0.00141048702601948	0.00985499370543919
1.86789999999981	7.66583442070363E-05	0.00141053204402696	0.00985534311235864
1.86799999999981	7.66589800304707E-05	0.00141057705345913	0.00985569251939308
1.86809999999981	7.6659615828209E-05	0.00141062205431229	0.00985604192654457
1.86819999999981	7.66602516002544E-05	0.00141066704658276	0.00985639133381516
1.86829999999981	7.66608873466099E-05	0.00141071203026685	0.00985674074120691
1.86839999999981	7.66615230672786E-05	0.00141075700536086	0.00985709014872186
1.86849999999981	7.66621587622638E-05	0.0014108019718611	0.00985743955636208
1.86859999999981	7.66627944315685E-05	0.00141084692976388	0.00985778896412961
1.86869999999981	7.66634300751958E-05	0.00141089187906552	0.00985813837202651
1.86879999999981	7.66640656931489E-05	0.00141093681976233	0.00985848778005484
1.86889999999981	7.66647012854309E-05	0.00141098175185062	0.00985883718821665
1.86899999999981	7.66653368520449E-05	0.00141102667532671	0.00985918659651398
1.86909999999981	7.6665972392994E-05	0.00141107159018691	0.0098595360049489
1.86919999999981	7.66666079082814E-05	0.00141111649642753	0.00985988541352345
1.86929999999981	7.66672433979101E-05	0.0014111613940449	0.0098602348222397
1.86939999999981	7.66678788618833E-05	0.00141120628303533	0.00986058423109968
1.86949999999981	7.66685143002041E-05	0.00141125116339514	0.00986093364010546
1.86959999999981	7.66691497128756E-05	0.00141129603512064	0.00986128304925908
