t	fg2D	fg2D	fg2D
0.751399999999934	0.402110894898193	0.521264659912607	0.240869543336675
0.751499999999934	0.402127094369001	0.521333582249952	0.240939173621918
0.751599999999934	0.402143290984679	0.521402497760834	0.241008791953769
0.751699999999934	0.402159484746463	0.521471406446704	0.24107839833649
0.751799999999934	0.402175675655588	0.521540308309009	0.241147992774345
0.751899999999934	0.40219186371329	0.521609203349198	0.241217575271599
0.751999999999934	0.402208048920805	0.521678091568718	0.241287145832518
0.752099999999933	0.402224231279364	0.521746972969016	0.241356704461369
0.752199999999933	0.402240410790202	0.521815847551535	0.241426251162422
0.752299999999933	0.40225658745455	0.521884715317721	0.241495785939946
0.752399999999933	0.40227276127364	0.521953576269015	0.241565308798213
0.752499999999933	0.402288932248703	0.52202243040686	0.241634819741496
0.752599999999933	0.402305100380969	0.522091277732697	0.241704318774068
0.752699999999933	0.402321265671666	0.522160118247967	0.241773805900206
0.752799999999933	0.402337428122024	0.522228951954107	0.241843281124184
0.752899999999933	0.402353587733269	0.522297778852556	0.24191274445028
0.752999999999933	0.40236974450663	0.522366598944751	0.241982195882775
0.753099999999933	0.402385898443332	0.522435412232128	0.242051635425946
0.753199999999933	0.4024020495446	0.522504218716123	0.242121063084076
0.753299999999933	0.40241819781166	0.522573018398168	0.242190478861448
0.753399999999933	0.402434343245735	0.522641811279698	0.242259882762343
0.753499999999933	0.402450485848048	0.522710597362144	0.242329274791048
0.753599999999933	0.402466625619822	0.522779376646938	0.242398654951848
0.753699999999933	0.402482762562278	0.522848149135508	0.242468023249029
0.753799999999933	0.402498896676639	0.522916914829286	0.242537379686881
0.753899999999933	0.402515027964122	0.522985673729698	0.242606724269691
0.753999999999933	0.402531156425949	0.523054425838173	0.242676057001751
0.754099999999933	0.402547282063338	0.523123171156135	0.242745377887352
0.754199999999933	0.402563404877507	0.52319190968501	0.242814686930787
0.754299999999933	0.402579524869673	0.523260641426223	0.242883984136348
0.754399999999933	0.402595642041052	0.523329366381197	0.242953269508331
0.754499999999933	0.402611756392861	0.523398084551354	0.243022543051031
0.754599999999933	0.402627867926313	0.523466795938115	0.243091804768744
0.754699999999933	0.402643976642625	0.5235355005429	0.24316105466577
0.754799999999933	0.402660082543008	0.523604198367129	0.243230292746406
0.754899999999933	0.402676185628676	0.52367288941222	0.243299519014952
0.754999999999933	0.402692285900841	0.523741573679591	0.243368733475709
0.755099999999933	0.402708383360714	0.523810251170657	0.24343793613298
0.755199999999933	0.402724478009506	0.523878921886835	0.243507126991065
0.755299999999933	0.402740569848426	0.523947585829538	0.243576306054271
0.755399999999933	0.402756658878684	0.52401624300018	0.2436454733269
0.755499999999933	0.402772745101488	0.524084893400174	0.24371462881326
0.755599999999933	0.402788828518045	0.524153537030931	0.243783772517656
0.755699999999933	0.402804909129562	0.524222173893862	0.243852904444396
0.755799999999933	0.402820986937246	0.524290803990376	0.243922024597789
0.755899999999933	0.402837061942301	0.524359427321881	0.243991132982144
0.755999999999933	0.402853134145933	0.524428043889786	0.244060229601772
0.756099999999933	0.402869203549345	0.524496653695497	0.244129314460983
0.756199999999933	0.402885270153741	0.52456525674042	0.244198387564091
0.756299999999933	0.402901333960323	0.524633853025959	0.244267448915407
0.756399999999933	0.402917394970292	0.524702442553519	0.244336498519246
0.756499999999933	0.40293345318485	0.524771025324501	0.244405536379923
0.756599999999933	0.402949508605197	0.524839601340309	0.244474562501754
0.756699999999933	0.402965561232532	0.524908170602342	0.244543576889054
0.756799999999933	0.402981611068054	0.524976733112	0.244612579546142
0.756899999999933	0.402997658112961	0.525045288870683	0.244681570477334
0.756999999999933	0.403013702368451	0.525113837879789	0.244750549686952
0.757099999999933	0.403029743835721	0.525182380140714	0.244819517179313
0.757199999999933	0.403045782515965	0.525250915654855	0.244888472958739
0.757299999999933	0.403061818410379	0.525319444423606	0.244957417029551
0.757399999999933	0.403077851520157	0.525387966448363	0.245026349396072
0.757499999999933	0.403093881846494	0.525456481730517	0.245095270062623
0.757599999999933	0.403109909390582	0.525524990271461	0.24516417903353
0.757699999999933	0.403125934153613	0.525593492072587	0.245233076313116
0.757799999999933	0.403141956136779	0.525661987135285	0.245301961905707
0.757899999999933	0.40315797534127	0.525730475460943	0.245370835815629
0.757999999999933	0.403173991768277	0.525798957050951	0.245439698047207
0.758099999999933	0.403190005418989	0.525867431906696	0.245508548604771
0.758199999999933	0.403206016294595	0.525935900029565	0.245577387492647
0.758299999999933	0.403222024396282	0.526004361420943	0.245646214715165
0.758399999999933	0.403238029725237	0.526072816082214	0.245715030276654
