t;TC1;TC2;TC3;TC4;
45.200000;664.836547;646.170958;608.327900;-273.000000;
45.300000;664.846824;645.951096;608.133494;-273.000000;
45.400000;664.828134;645.888093;608.194985;-273.000000;
45.500000;664.682426;645.837622;608.076650;-273.000000;
45.600000;664.734045;645.764424;608.056159;-273.000000;
45.700000;664.621321;645.674597;607.887729;-273.000000;
45.800000;664.709545;645.713460;607.810947;-273.000000;
45.900000;664.560792;645.602620;607.651500;-273.000000;
46.000000;664.673287;645.667427;607.745950;-273.000000;
46.100000;664.548958;645.418772;607.501471;-273.000000;
46.200000;664.576782;645.447899;607.588894;-273.000000;
46.300000;664.438579;645.342468;607.398850;-273.000000;
46.400000;664.359729;645.198788;607.381197;-273.000000;
46.500000;664.365547;645.111808;607.199826;-273.000000;
46.600000;664.294547;645.178081;607.245229;-273.000000;
46.700000;664.206818;645.093029;607.219047;-273.000000;
46.800000;664.177474;645.066022;606.991991;-273.000000;
46.900000;664.175218;644.955096;607.006874;-273.000000;
47.000000;664.096129;645.020107;607.063947;-273.000000;
47.100000;664.000226;644.810326;606.891485;-273.000000;
47.200000;664.060258;644.708716;606.979321;-273.000000;
47.300000;663.951932;644.622160;606.737682;-273.000000;
47.400000;663.961974;644.702590;606.570747;-273.000000;
47.500000;663.883247;644.498109;606.511226;-273.000000;
47.600000;663.899132;644.550548;606.419209;-273.000000;
47.700000;663.822284;644.398385;606.392321;-273.000000;
47.800000;663.812758;644.475971;606.297568;-273.000000;
47.900000;663.684961;644.224463;606.353259;-273.000000;
48.000000;663.708321;644.239844;606.268094;-273.000000;
48.100000;663.648279;644.188722;606.080750;-273.000000;
48.200000;663.667513;644.198296;606.003959;-273.000000;
48.300000;663.531829;644.044934;605.908515;-273.000000;
48.400000;663.554695;644.150463;605.929988;-273.000000;
48.500000;663.375279;643.936968;605.792229;-273.000000;
48.600000;663.553803;643.995707;605.778994;-273.000000;
48.700000;663.428171;643.714569;605.660597;-273.000000;
48.800000;663.443108;643.786292;605.593644;-273.000000;
48.900000;663.253529;643.636877;605.513397;-273.000000;
49.000000;663.272458;643.789332;605.490200;-273.000000;
49.100000;663.278284;643.691869;605.417165;-273.000000;
49.200000;663.171976;643.693584;605.398853;-273.000000;
49.300000;663.117858;643.510173;605.341582;-273.000000;
49.400000;663.118700;643.408379;605.115718;-273.000000;
49.500000;663.204474;643.417804;605.046638;-273.000000;
49.600000;663.057376;643.231177;604.930756;-273.000000;
49.700000;663.037074;643.316995;604.919438;-273.000000;
