t	fd_A	fd_V
0.554099999999955	0.19942642713683	0.106730563118308	0.192759999999964
0.556099999999955	0.200505981533056	0.107567190437445	0.194249999999964
0.558099999999955	0.201576932995804	0.108399536567042	0.195739999999968
0.560099999999955	0.202662240471437	0.109246631315069	0.197239999999964
0.562099999999954	0.203738497929243	0.110090429898595	0.198729999999968
0.564099999999954	0.204818020297267	0.110939342403452	0.200229999999963
0.566099999999954	0.205883006790131	0.111780398426988	0.201719999999968
0.568099999999954	0.206912455618598	0.112595803515586	0.203219999999963
0.570099999999954	0.207955882117506	0.113424774612743	0.204709999999967
0.572099999999953	0.208973300322219	0.114236938905154	0.206209999999963
0.574099999999953	0.209973205519913	0.115036314117698	0.207699999999967
0.576099999999953	0.210981626270953	0.11584605858953	0.209199999999962
0.578099999999953	0.211976445786929	0.116646760663287	0.210689999999967
0.580099999999952	0.212985929868066	0.117462159186751	0.212189999999967
0.582099999999952	0.213998465859416	0.118283430445846	0.213689999999962
0.584099999999952	0.215001714072612	0.119099090484733	0.215179999999966
0.586099999999952	0.216011359220779	0.119923105613129	0.216679999999966
0.588099999999952	0.216994304825882	0.120727696155167	0.218179999999961
0.590099999999951	0.217972309698789	0.121530290412995	0.219679999999961
0.592099999999951	0.218951164609922	0.122336519525861	0.221179999999961
0.594099999999951	0.219902728380553	0.123122537206316	0.222669999999966
0.596099999999951	0.22085368977684	0.123909997675283	0.224169999999965
0.59809999999995	0.221802251827828	0.124698444685408	0.225669999999965
0.60009999999995	0.222746016162608	0.12548457576412	0.227169999999965
0.60209999999995	0.223703921108361	0.126284856746897	0.228669999999965
0.60409999999995	0.22465884733318	0.127085385193952	0.230169999999965
0.60609999999995	0.225613278242211	0.127887379017377	0.231669999999965
0.608099999999949	0.226571111316916	0.128695146221291	0.233169999999965
0.610099999999949	0.227505354056342	0.129485267303959	0.234669999999964
0.612099999999949	0.228439332411908	0.130276743169235	0.236169999999964
0.614099999999949	0.229376124067155	0.131073397697266	0.237669999999964
0.616099999999948	0.230331465441453	0.131879426559599	0.239179999999959
0.618099999999948	0.231323798436031	0.132710069837531	0.240679999999959
0.620099999999948	0.232318751784127	0.133545932179982	0.242179999999964
0.622099999999948	0.2333066947555	0.134377901626455	0.243679999999963
0.624099999999948	0.234302792143448	0.135219773444683	0.245189999999958
0.626099999999947	0.235268744802191	0.136038491721959	0.246689999999958
0.628099999999947	0.236226040153756	0.136851514277059	0.248189999999963
0.630099999999947	0.237195877292342	0.137677672212504	0.249699999999958
0.632099999999947	0.238140049375309	0.138485102582314	0.251199999999963
0.634099999999946	0.239073926493045	0.139284847124415	0.252709999999957
0.636099999999946	0.240020572794558	0.140097860934292	0.254209999999957
0.638099999999946	0.24095246396937	0.140900733760894	0.255709999999962
0.640099999999946	0.241937232336093	0.141734663550773	0.257219999999957
0.642099999999946	0.242933655999549	0.142580652863565	0.258729999999956
0.644099999999945	0.243915925680308	0.143417537552179	0.260229999999962
0.646099999999945	0.244902255162114	0.144259832664273	0.261739999999956
0.648099999999945	0.245884793634105	0.14510195796007	0.263239999999961
0.650099999999945	0.246841736462334	0.145924106349556	0.264749999999961
0.652099999999945	0.247796440365719	0.146746020350799	0.266259999999956
0.654099999999944	0.248757231079041	0.147576059772171	0.267769999999955
0.656099999999944	0.249694748608534	0.148388130434546	0.269269999999961
0.658099999999944	0.250622103093667	0.149192853476258	0.270779999999961
0.660099999999944	0.2515606380585	0.150009671684165	0.272289999999961
0.662099999999943	0.252482078976657	0.15081418487095	0.273799999999955
0.664099999999943	0.25341246426064	0.151628167100676	0.275309999999955
0.666099999999943	0.254354095930486	0.152454305847982	0.276819999999954
0.668099999999943	0.255289176631	0.153277194882264	0.278329999999954
0.670099999999943	0.256222454950088	0.154100205193282	0.279839999999954
0.672099999999942	0.257163754219995	0.154932904650794	0.281349999999954
0.674099999999942	0.258087081376043	0.155751642970195	0.282859999999954
0.676099999999942	0.25900081101194	0.156563434565865	0.284369999999953
