t	fs
5.5500000000004	0.528327045710993	0.556279999999449
5.5520000000004	0.528493133581722	0.556479999999448
5.55400000000039	0.528659195226153	0.556679999999448
5.55600000000039	0.528825229401544	0.556879999999447
5.55800000000039	0.528991213523291	0.557079999999446
5.56000000000038	0.529157171496131	0.557279999999445
5.56200000000038	0.529323103299452	0.557479999999444
5.56400000000037	0.529489008837077	0.557679999999444
5.56600000000037	0.529654869154939	0.557879999999443
5.56800000000036	0.529820689694324	0.558079999999442
5.57000000000036	0.529986470617931	0.558279999999441
5.57200000000035	0.530152214466467	0.55847999999944
5.57400000000035	0.530317921207738	0.55867999999944
5.57600000000034	0.530483589946919	0.558879999999439
5.57800000000034	0.530649222805406	0.559079999999438
5.58000000000033	0.53081482923206	0.559279999999437
5.58200000000033	0.530980409126188	0.559479999999436
5.58400000000032	0.531145962460163	0.559679999999436
5.58600000000032	0.531311489219644	0.559879999999435
5.58800000000032	0.531476989418741	0.560079999999434
5.59000000000031	0.53164248838208	0.560279999999433
5.59200000000031	0.531807965082158	0.560479999999432
5.5940000000003	0.531973415021431	0.560679999999432
5.5960000000003	0.532138838206305	0.560879999999431
5.59800000000029	0.532304234577792	0.56107999999943
5.60000000000029	0.532469604156734	0.561279999999429
5.60200000000028	0.532634946973918	0.561479999999428
5.60400000000028	0.532800263039292	0.561679999999428
5.60600000000027	0.532965552345248	0.561879999999427
5.60800000000027	0.533130814915602	0.562079999999426
5.61000000000026	0.533296050705109	0.562279999999425
5.61200000000026	0.533461259688487	0.562479999999424
5.61400000000025	0.533626441840218	0.562679999999424
5.61600000000025	0.533791597175527	0.562879999999423
5.61800000000025	0.533956725699624	0.563079999999422
5.62000000000024	0.534121827307095	0.563279999999421
5.62200000000024	0.534286900816346	0.56347999999942
5.62400000000023	0.534451919506081	0.56367999999942
5.62600000000023	0.534616893442013	0.563879999999419
5.62800000000022	0.534781840555858	0.564079999999418
5.63000000000022	0.534946760838139	0.564279999999417
5.63200000000021	0.535111654162897	0.564479999999416
5.63400000000021	0.535276520474468	0.564679999999416
5.6360000000002	0.535441359801374	0.564879999999415
5.6380000000002	0.535606172142434	0.565079999999414
5.64000000000019	0.535770957500045	0.565279999999413
5.64200000000019	0.535935715902612	0.565479999999412
5.64400000000018	0.536100447341956	0.565679999999412
5.64600000000018	0.536265150427909	0.565879999999411
5.64800000000018	0.536429800129123	0.56607999999941
5.65000000000017	0.536594423039548	0.566279999999409
5.65200000000017	0.536759019139193	0.566479999999408
5.65400000000016	0.536923588364632	0.566679999999408
5.65600000000016	0.537088130686212	0.566879999999407
5.65800000000015	0.537252646033742	0.567079999999406
5.66000000000015	0.537417129221652	0.567279999999405
5.66200000000014	0.537581564972352	0.567479999999404
5.66400000000014	0.537745973587655	0.567679999999404
5.66600000000013	0.537910355020005	0.567879999999403
5.66800000000013	0.538074709189051	0.568079999999402
5.67000000000012	0.538239008016607	0.568279999999401
5.67200000000012	0.538403257555367	0.5684799999994
