t;y = 0.116 m;y = 0.109 m;y = 0.101 m;y = 0.094 m;y = 0.086 m;y = 0.079 m;y = 0.071 m;y = 0.064 m;y = 0.056 m;y = 0.049 m;y = 0.041 m;y = 0.034 m;y = 0.026 m;y = 0.019 m;y = 0.011 m;y = 0.004 m;
13.500000;676.377607;676.010821;675.644036;675.099763;674.473711;673.596536;671.889750;670.182964;667.678896;663.474521;659.270146;650.993051;642.432243;627.898547;610.974328;594.050109;
13.600000;676.319482;675.951446;675.583411;675.062605;674.419184;673.657310;671.955167;670.253024;667.583944;663.345611;659.107278;650.607397;642.004015;627.576578;610.699547;593.822516;
13.700000;676.301857;675.927571;675.553286;674.982086;674.321493;673.548750;671.801250;670.053750;667.387160;663.169868;658.952576;650.555750;641.938250;627.534078;610.672047;593.810016;
13.800000;676.321625;675.947875;675.574125;674.961349;674.319704;673.487762;671.716333;669.944905;667.411312;663.134437;658.857562;650.312757;641.693713;627.250937;610.416562;593.582187;
13.900000;676.236589;675.856768;675.476946;674.874164;674.282257;673.533381;671.747667;669.961952;667.195271;662.874646;658.554021;650.172559;641.535206;627.103250;610.320750;593.538250;
14.000000;676.129589;675.749768;675.369946;674.979849;674.353204;673.552512;671.743583;669.934655;667.170701;662.892160;658.613618;650.127419;641.399404;627.042656;610.293594;593.544531;
14.100000;676.337964;675.971893;675.605821;675.016789;674.323632;673.394708;671.595958;669.797208;667.261549;662.922590;658.583632;649.905838;641.179809;626.819625;610.083375;593.347125;
14.200000;676.234179;675.854536;675.474893;674.870151;674.176796;673.296161;671.518125;669.740089;666.941653;662.547069;658.152486;649.665397;640.942015;626.597562;609.876937;593.156312;
14.300000;676.239714;675.851143;675.462571;674.857829;674.169013;673.335256;671.545792;669.756327;667.121368;662.702826;658.284285;649.684375;640.905625;626.512437;609.823062;593.133687;
14.400000;676.239071;675.851214;675.463357;674.783625;674.142375;673.424083;671.576583;669.729083;666.930507;662.457799;657.985090;649.351934;640.545831;626.190234;609.544141;592.898047;
14.500000;676.042554;675.676661;675.310768;674.834783;674.210901;673.386988;671.490917;669.594845;666.779361;662.288528;657.797694;649.117831;640.303346;625.989328;609.374797;592.760266;
14.600000;676.175232;675.814696;675.454161;674.907895;674.246316;673.358054;671.465375;669.572696;666.803806;662.259639;657.715472;649.079500;640.244500;625.931844;609.345906;592.759969;
14.700000;676.236804;675.843411;675.450018;674.871757;674.194980;673.345988;671.449917;669.553845;666.681035;662.092493;657.503951;648.797801;639.929493;625.599906;609.058344;592.516781;
